$ python print_est.py --dataset cifar10outdist --target aetta
DATASET: cifar10outdist
LOG_PREFIX: eval_results
METHOD: ['TENT', 'EATA', 'SAR', 'CoTTA', 'RoTTA', 'SoTTA']
SEED: [0, 1, 2]
OUTDIST: ['original']
DIST: 1
RESET: 
CONTINUAL: False

SEED:0, OUTDIST: original
,                                                               gaussian_noise,     shot_noise,     impulse_noise,      defocus_blur,       glass_blur,     motion_blur,   zoom_blur,   snow,       frost,      fog,        brightness,     contrast,   elastic_transform,      pixelate,   jpeg_compression
TENT_original(eval_results_0_dist1),                            4.938,              5.613,          4.496,              2.731,              5.342,          3.301,          3.342,      3.438,      3.331,      3.455,      2.983,          4.641,      3.528,                  4.02,       3.387
EATA_original(eval_results_0_dist1),                            4.414,              4.754,          4.275,              3.394,              4.636,          3.271,          3.162,      3.225,      3.86,       3.454,      2.658,          2.71,       3.822,                  4.071,      3.548
SAR_original(eval_results_0_dist1),                             6.963,              7.144,          5.822,              3.374,              4.14,           3.424,          3.31,       3.636,      4.385,      4.017,      2.891,          2.925,      4.303,                  4.435,      4.144
CoTTA_original(eval_results_0_dist1),                           15.383,             15.839,         16.745,             3.416,              7.74,           3.496,          3.456,      4.578,      6.275,      4.142,      2.894,          3.801,      6.659,                  6.855,      10.78
RoTTA_original(eval_results_0_dist1_mt0.05_CSTU),               14.735,             16.194,         14.595,             3.739,              5.863,          4.039,          4.038,      4.889,      6.948,      5.653,      3.297,          18.476,     5.377,                  6.354,      4.463
SoTTA_original(eval_results_0_dist1_mt0.2_HUS_ht0.99_lr0.001),  11.301,             10.402,         10.13,              3.701,              4.653,          3.746,          3.863,      4.308,      6.53,       4.9,        3.546,          5.513,      5.527,                  6.334,      4.47

SEED:1, OUTDIST: original
,                                                               gaussian_noise,     shot_noise,     impulse_noise,      defocus_blur,       glass_blur,     motion_blur,    zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
TENT_original(eval_results_1_dist1),                            5.125,              5.096,          4.303,              2.923,              5.008,          3.028,3.148,3.372,3.476,3.624,2.695,4.425,3.935,3.811,4.002
EATA_original(eval_results_1_dist1),                            4.851,              5.245,          4.661,              3.112,              5.928,          3.14,3.057,3.415,3.818,3.716,2.606,2.731,3.685,4.163,3.966
SAR_original(eval_results_1_dist1),                             6.951,              7.144,          5.265,              3.266,              4.392,          3.754,3.288,3.741,4.054,4.221,2.922,3.005,3.662,4.418,4.299
CoTTA_original(eval_results_1_dist1),                           17.129,             16.861,         16.678,             3.244,              7.643,          3.724,3.498,4.909,6.865,4.607,2.944,4.338,7.08,7.302,11.324
RoTTA_original(eval_results_1_dist1_mt0.05_CSTU),               21.356,             21.558,         15.31,              4.63,               6.819,          4.304,4.539,5.473,6.859,6.32,3.693,10.782,5.945,6.458,5.692
SoTTA_original(eval_results_1_dist1_mt0.2_HUS_ht0.99_lr0.001),  12.23,              13.917,         12.688,             3.928,              5.396,          3.928,4.457,5.178,6.255,5.129,3.615,5.521,6.101,7.275,5.103

SEED:2, OUTDIST: original
,                                                               gaussian_noise,     shot_noise,     impulse_noise,      defocus_blur,       glass_blur,     motion_blur,    zoom_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression
TENT_original(eval_results_2_dist1),                            5.238,              5.93,           4.75,               3.083,              4.35,           3.305,          3.24,3.147,3.58,3.629,2.77,4.362,3.788,4.1,4.211
EATA_original(eval_results_2_dist1),                            4.935,              5.739,          4.327,              3.267,              4.966,          3.29,           3.731,3.576,3.76,3.742,3.094,2.975,3.878,4.015,3.78
SAR_original(eval_results_2_dist1),                             7.942,              7.59,           6.183,              3.407,              4.617,          3.836,          3.678,4.201,5.042,3.947,3.459,2.999,4.334,4.501,4.406
CoTTA_original(eval_results_2_dist1),                           17.543,             16.829,         17.22,              3.506,              8.074,          3.852,          3.831,5.047,7.334,4.296,3.497,4.062,7.65,8.404,11.68
RoTTA_original(eval_results_2_dist1_mt0.05_CSTU),               21.519,             21.529,         15.55,              4.769,              6.185,          4.728,          5.09,6.26,7.439,6.361,4.352,13.142,6.606,7.501,5.791
SoTTA_original(eval_results_2_dist1_mt0.2_HUS_ht0.99_lr0.001),  15.902,             15.65,          13.947,             4.228,              7.886,          4.618,          4.743,5.571,7.48,6.182,3.959,6.747,6.458,8.261,6.023
